pixel_id,success,status,message,iterations,objective_slsqp,objective_face,objective_face_minus_slsqp,max_abs_abundance_difference,slsqp_asc_error,slsqp_anc_violation
2615,True,0,Optimization terminated successfully,6,0.011219307266678902,0.0112193072666789,-1.734723475976807e-18,1.1102230246251565e-16,0.0,0
2658,True,0,Optimization terminated successfully,4,0.0073377957338580085,0.007337795733858012,3.469446951953614e-18,9.020562075079397e-17,2.220446049250313e-16,0
2726,True,0,Optimization terminated successfully,6,0.0035696066046496046,0.0035696066046496046,0.0,1.1102230246251565e-16,0.0,0
2943,True,0,Optimization terminated successfully,4,0.001896715226131733,0.001896715226131732,-8.673617379884035e-19,2.220446049250313e-16,1.1102230246251565e-16,0
2988,True,0,Optimization terminated successfully,6,0.007914265779716278,0.007914265779716281,3.469446951953614e-18,2.220446049250313e-16,0.0,0
3166,True,0,Optimization terminated successfully,4,0.012240607673653182,0.012240607673653179,-3.469446951953614e-18,1.1796119636642288e-16,0.0,0
3214,True,0,Optimization terminated successfully,4,0.009024173693990835,0.009024173693990832,-3.469446951953614e-18,1.1102230246251565e-16,0.0,0
3230,True,0,Optimization terminated successfully,2,0.0029323638157352705,0.0029323638156210623,-1.1420812212614706e-13,1.9166890297128703e-12,1.1102230246251565e-16,0
3252,True,0,Optimization terminated successfully,4,0.01301692697416714,0.013016926974167134,-5.204170427930421e-18,5.93422964837545e-17,2.220446049250313e-16,0
3364,True,0,Optimization terminated successfully,6,0.009144560384963321,0.009144560384963321,0.0,5.898059818321144e-17,0.0,0
3402,True,0,Optimization terminated successfully,4,0.005561782057468015,0.005561782057468009,-6.071532165918825e-18,1.1102230246251565e-16,0.0,0
3417,True,0,Optimization terminated successfully,4,0.01138634002974847,0.011386340029748478,8.673617379884035e-18,1.5959455978986625e-16,2.220446049250313e-16,0
3473,True,0,Optimization terminated successfully,4,0.0031564184856457986,0.0031564184856457986,0.0,1.8388068845354155e-16,0.0,0
3489,True,0,Optimization terminated successfully,3,0.005569104528409349,0.005569104528409324,-2.5153490401663703e-17,5.2517135817341187e-17,0.0,0
3588,True,0,Optimization terminated successfully,4,0.004613783618614163,0.004613783618614165,1.734723475976807e-18,1.1102230246251565e-16,0.0,0
3617,True,0,Optimization terminated successfully,6,0.004766690226790268,0.00476669022679027,2.6020852139652106e-18,3.3306690738754696e-16,0.0,0
3885,True,0,Optimization terminated successfully,2,0.0035318208666343435,0.0035318208666343435,0.0,0.0,0.0,0
3940,True,0,Optimization terminated successfully,3,0.0064519285954953275,0.00645192859549528,-4.7704895589362195e-17,1.3628738688235955e-16,2.220446049250313e-16,0
4053,True,0,Optimization terminated successfully,4,0.018192025750066582,0.01819202575006657,-1.3877787807814457e-17,2.220446049250313e-16,0.0,0
4074,True,0,Optimization terminated successfully,3,0.009759528986830149,0.00975952898683001,-1.3877787807814457e-16,1.408321386574518e-16,2.220446049250313e-16,0
4094,True,0,Optimization terminated successfully,3,0.01750603160038711,0.017506031600386964,-1.457167719820518e-16,1.4343094556708358e-16,2.220446049250313e-16,0
4137,True,0,Optimization terminated successfully,2,0.00764881527707316,0.007648815276138187,-9.349734528263376e-13,1.1668443988810395e-12,2.6867397195928788e-14,0
4177,True,0,Optimization terminated successfully,4,0.003124621161873984,0.0031246211618739857,1.734723475976807e-18,7.892991815694472e-17,0.0,0
4211,True,0,Optimization terminated successfully,4,0.00950886826275393,0.009508868262753937,6.938893903907228e-18,6.245004513516506e-17,0.0,0
4215,True,0,Optimization terminated successfully,4,0.002604533509274157,0.002604533509274157,0.0,1.1102230246251565e-16,0.0,0
4216,True,0,Optimization terminated successfully,4,0.002909343805463368,0.0029093438054633674,-4.336808689942018e-19,4.87890977618477e-17,0.0,0
4223,True,0,Optimization terminated successfully,4,0.0033295053388639733,0.0033295053388639785,5.204170427930421e-18,1.4051260155412137e-16,2.220446049250313e-16,0
4228,True,0,Optimization terminated successfully,2,0.010409792970177705,0.01040979297005852,-1.1918417641698653e-13,1.0341727474383333e-12,0.0,0
4241,True,0,Optimization terminated successfully,4,0.005089057289450955,0.005089057289450949,-6.071532165918825e-18,2.220446049250313e-16,0.0,0
4380,True,0,Optimization terminated successfully,2,0.023640807533301014,0.023640807533301014,0.0,0.0,0.0,0
4466,True,0,Optimization terminated successfully,4,0.011274430499461505,0.011274430499461488,-1.734723475976807e-17,1.1174452631625748e-16,0.0,0
4486,True,0,Optimization terminated successfully,4,0.006789508936975793,0.006789508936975795,2.6020852139652106e-18,5.551115123125783e-17,0.0,0
4605,True,0,Optimization terminated successfully,4,0.004111065012634814,0.004111065012634812,-1.734723475976807e-18,2.220446049250313e-16,0.0,0
4618,True,0,Optimization terminated successfully,6,0.0042093042779661905,0.004209304277966189,-1.734723475976807e-18,1.3509159069169385e-16,0.0,0
4643,True,0,Optimization terminated successfully,7,0.008812405850087204,0.008812405850087175,-2.949029909160572e-17,2.758524910665555e-09,0.0,0
4953,True,0,Optimization terminated successfully,4,0.012163017818935796,0.012163017818935787,-8.673617379884035e-18,3.3306690738754696e-16,1.1102230246251565e-16,0
4992,True,0,Optimization terminated successfully,2,0.016943041775089963,0.016943041775089963,0.0,0.0,0.0,0
